"","language","glottocode","family","area","longitude","latitude","Rec.P","RecRef.I","RecRef.D","ContentQInitial","ContentQNonInitial","NumNoun","NounNum","DegWordAdj","AdjDegWord","GenN","NGen","AdjNoun","NounAdj","PossAff.P","PossPre","PossSuff","ComInst","NPconj","NVconj","DefArt","IndefArt","PronomS","IndefPron","PronDem","DemDis","PronAdnDem","IntRef","GenPron","Gender","Gender.n","NegMorph","NPlural","OrdNum","DistNum","AdpN","DemN","NegV","OXV","RelN","Passive","Optative","Prohibitive","Imperative","AdpPM","PolarQ","PossClass","PossLocus","Reduplication","Future","Past","Aspect","Vper","SOV","Head.driven.agr","Juxtaposition","Governed","Cons.state","agr.class","mixed","Agr.Gender","Agr.Number","Agr.State","Agr.Case","Agr.Def","Agr.none","NPHeadlessness","ClausePosition","NumClass.n","Alignment","VInflCat"
"11","Hurrian","hurr1240","Hurro-Urartian","anea",43.32,40.73,NA,NA,NA,NA,NA,"TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb",NA,"Unrelated","Threeway contrast",NA,NA,"No gender distinctions","No gender","None","Negative affix","Plural prefix","Oneth twoth threeth",NA,"Postpositions",NA,NA,"No dominant order","Internally headed","Absent","Inflectional optative present","Normal imperative  normal negative","Second singular and second plural",NA,NA,NA,"Dependent marking",NA,"Inflectional future exists","Present no remoteness distinctions","No grammatical marking","A or P argument","SOV","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvPxAtr","11"
"12","Imperial Aramaic","impe1235","Northwest Semitic","anea",42.19,33.91,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"Definite affix","Indefinite affix","Subject affixes on verb","Mixed indefinites","Unrelated","Twoway contrast",NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural",NA,"No question particle",NA,"Head marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","4"
"13","Jewish Babylonian Aramaic","jewi1240","Northwest Semitic","anea",44.24,32.27,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation",NA,NA,"No definite but indefinite article","Indefinite word distinct from one","Subject affixes on verb","Genericnounbased","Related to remote demonstratives","Threeway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","DemonstrativeNoun","NegV","No dominant order","NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","Pronouns only","Initial",NA,"Head marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Only the A argument","No dominant order","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK","flexiblerelational",NA,"SvAtrvP","4"
"14","Jewish Palestinian Aramaic","pale1261","Northwest Semitic","anea",35.2,32.28,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"No definite but indefinite article","Indefinite word distinct from one","Subject affixes on verb",NA,"Related to remote demonstratives","Twoway contrast","Different stem",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three","Marked by reduplication","Prepositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present",NA,"Special imperative  special negative","Second singular and second plural",NA,"No question particle","No possessive classification","Head marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,"0","SvAtrvP","4"
"15","Later Egyptian","copt1239","Egyptian","anea",31.21,29.47,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"Definite affix","Indefinite word distinct from one","Subject affixes on verb",NA,"Unrelated","No distance contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix",NA,NA,"Prepositions","Demonstrative prefix","NegV",NA,"NounRelative clause","Present","Inflectional optative present","Normal imperative  special negative","Second singular and second plural","Pronouns only",NA,"No possessive classification","No marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions",NA,"Only the A argument",NA,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","OK","flexibleadjacent",NA,"SvAtrvP","6"
"16","Luwian","luvi1235","Indo-European","anea",36,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,NA,"Differentiation","And different from with","Identity",NA,NA,"Subject affixes on verb","Interrogativebased","Related to remote demonstratives","Twoway contrast",NA,NA,"3rd person singular only","Semantic and formal","Two","Negative particle","Plural suffix","Oneth twoth threeth",NA,NA,NA,NA,NA,NA,"Present","Inflectional optative present","Special imperative  normal negative","Second singular and second plural",NA,NA,"No possessive classification","Dependent marking",NA,"No inflectional future","Present no remoteness distinctions","No grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"SvAtrxP","5"
"17","Mandaic Aramaic","clas1253","Northwest Semitic","anea",49.57,36.12,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"No definite but indefinite article","Indefinite word distinct from one","Subject affixes on verb",NA,"Related to nonremote demonstratives","Twoway contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural",NA,"Initial",NA,"Head marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","A obligatory P optional","No dominant order","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","4"
"18","Middle Aramaic","midd1366","Northwest Semitic","anea",35.2,32.28,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"Definite affix","Indefinite affix","Subject affixes on verb",NA,"Unrelated","Twoway contrast",NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","Mixed","NegV",NA,"NounRelative clause","Present",NA,"Special imperative  special negative","Second singular and second plural",NA,"No question particle",NA,"Head marking",NA,"No inflectional future","No past tense","Grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","4"
"19","Middle Assyrian","akka1240","East Semitic","anea",41.15,36.21,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Identity","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Unrelated","No distance contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth","Marked by mixed or other strategies","Prepositions","NounDemonstrative","NegV","No dominant order","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","Pronouns only","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,"OK","flexiblerelational","0","SvAtrxP","5"
"20","Middle Babylonian","akka1240","East Semitic","anea",44.51,32.75,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Prepositions","NounDemonstrative","NegV","OXV","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","OK","flexiblerelational","0","SvAtrxP","4"
"21","Middle Egyptian","egyp1246","Egyptian","anea",30.93,28.41,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And identical to with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Special","Unrelated","Twoway contrast","Identical","Differentiated","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","NounDemonstrative","NegV","VOX","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","Pronouns only","Initial","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present 23 remoteness distinctions",NA,"No person marking","VSO","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","OK","flexibleadjacent",NA,"SvAtrvP","4"
"22","Mishnaic Hebrew","hebr1246","Northwest Semitic","anea",35.17,31.78,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","Definite affix","No indefinite but definite article","Mixed","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Differentiated","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First twoth threeth","Marked by reduplication","Prepositions","Mixed","NegV","VOX","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","Pronouns only","Initial","No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","Grammatical marking","Only the A argument","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE",NA,"fixedpostmain",NA,"SvAtrvP","4"
"23","Neo-Assyrian","akka1240","East Semitic","anea",41.05,36.31,NA,NA,NA,"TRUE","TRUE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,"Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Special","Unrelated","Twoway contrast","Identical",NA,"In 3rd person  1st andor 2nd person",NA,NA,"Negative particle","Plural suffix","Firstoneth twoth threeth","Marked by suffix","Prepositions","NounDemonstrative","NegV","No dominant order","NounRelative clause",NA,"Inflectional optative present","Special imperative  normal negative","Second singular and second plural","Pronouns only",NA,"No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future",NA,NA,"Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"flexiblerelational","0","SvAtrxP","4"
"24","Neo-Babylonian","akka1240","East Semitic","anea",44.87,32.5,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Prepositions","NounDemonstrative","NegV","OXV","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","OK","flexiblerelational","0","SvAtrxP","4"
"25","Old Akkadian","akka1240","East Semitic","anea",44.1,33.1,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Prepositions","NounDemonstrative","NegV","OXV","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","OK","flexiblerelational","0","SvAtrxP","4"
"26","Old Aramaic","olda1246","Northwest Semitic","anea",37,32.84,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"Definite affix","Indefinite affix","Subject affixes on verb",NA,"Unrelated","Twoway contrast",NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","Mixed","NegV",NA,"NounRelative clause","Present",NA,"Special imperative  special negative","Second singular and second plural",NA,"No question particle",NA,"Head marking",NA,"No inflectional future","No past tense","Grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","4"
"27","Old Assyrian","akka1240","East Semitic","anea",40.95,35.88,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Identity","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Unrelated","No distance contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth","Marked by mixed or other strategies","Prepositions","NounDemonstrative","NegV","No dominant order","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","Pronouns only","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,"OK","flexiblerelational","0","SvAtrxP","5"
"28","Old Babylonian","akka1240","East Semitic","anea",44.61,32.61,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Identical","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Prepositions","NounDemonstrative","NegV","OXV","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","SOV","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","OK","flexiblerelational","0","SvAtrxP","4"
"29","Old Elamite","elam1244","Elamite","anea",48.23,31.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,NA,NA,NA,"Identity","Definite affix","No indefinite but definite article","Subject affixes on verb","Special","Related for all demonstratives","No distance contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic and formal","Two","Negative word unclear if verb or particle","Plural suffix",NA,NA,NA,"NounDemonstrative","NegV",NA,"NounRelative clause",NA,"Inflectional optative absent","Special imperative  special negative","Second person numberneutral","No person marking",NA,NA,NA,"Productive full and partial reduplication",NA,NA,NA,"Only the A argument","SOV","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,"OK",NA,NA,"SvAtrxP","4"
"30","Phoenician","phoe1239","Northwest Semitic","anea",35.65,34.12,"TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","Definite affix","No indefinite but definite article","Subject affixes on verb","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","NounDemonstrative","NegV",NA,"NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","Pronouns only",NA,NA,"Double marking","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","Grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","5"
"31","Samal","sama1317","Northwest Semitic","anea",36.67,37.1,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"Definite affix","Indefinite affix","Subject affixes on verb",NA,"Unrelated","Twoway contrast",NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","Mixed","NegV",NA,"NounRelative clause","Present",NA,"Special imperative  special negative","Second singular and second plural",NA,"No question particle",NA,"Head marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","4"
"32","Standard Biblical Hebrew","bibl1238","Northwest Semitic","anea",35.17,31.78,"TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","Definite affix","No indefinite but definite article","Mixed","Interrogativebased","Related to remote demonstratives","Twoway contrast","Identical","Differentiated","In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First twoth threeth","Marked by reduplication","Prepositions","Mixed","NegV","VOX","NounRelative clause","Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural","Pronouns only","Initial","No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,"SvAtrvP","5"
"33","Sumerian","sume1241","Sumerian","anea",45.67,31.3,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Differentiation","And different from with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Genericnounbased","Unrelated","Threeway contrast","Different stem","Identical","No gender distinctions","Semantic and formal","Two","Variation between negative word and affix","Plural clitic","First two three","No distributive numerals","No adpositions","NounDemonstrative","Type 1  Type 3","No dominant order","NounRelative clause","Present","Inflectional optative present","Special imperative  normal negative","Second singular and second plural","Postpositions","No question particle","No possessive classification","Dependent marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","SOV","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","OK","flexiblerelational","0","SvPxAtr","16"
"34","Syriac","clas1252","Northwest Semitic","anea",42.14,37.11,NA,NA,NA,"TRUE","FALSE","TRUE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,"No definite but indefinite article","Indefinite word distinct from one","Subject affixes on verb",NA,"Related to remote demonstratives","Twoway contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First two three",NA,"Prepositions","Mixed","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural",NA,"No question particle",NA,"Head marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","A obligatory P optional","VSO","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","OK",NA,NA,"SvAtrvP","4"
"35","Ugaritic","ugar1238","Northwest Semitic","anea",35.78,35.6,"TRUE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,"And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Unrelated","Twoway contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two",NA,"Plural suffix","First two three","Marked by suffix","Prepositions","NounDemonstrative",NA,NA,NA,"Present","Inflectional optative present","Special imperative  special negative","Second singular and second plural",NA,NA,NA,"Double marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","No dominant order","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,"OK","flexibleadjacent",NA,"SvAtrxP","6"
"36","Abkhaz","abkh1244","Abkhazian-Ubykh","0",41,43.0833333333,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation","And different from with","Identity","Definite word distinct from demonstrative","Indefinite word same as one","Subject affixes on verb","Special",NA,"Twoway contrast","Identical","Differentiated","In 3rd person  1st andor 2nd person","Semantic","Three","Negative affix","Plural suffix","Firstoneth twoth threeth","Marked by mixed or other strategies","Postpositions","DemonstrativeNoun","Type 3  Type 4","XOV","Relative clauseNoun","Absent","Inflectional optative present","Special imperative  normal negative","Second singular and second plural","Pronouns and nouns","No question particle","No possessive classification","Head marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP","16"
"37","Alamblak","alam1246","Sepik Hill","0",143.333333333,-4.66666666667,NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Differentiation","And different from with","Differentiation","Definite word distinct from demonstrative","No indefinite but definite article","Subject affixes on verb",NA,"Related by gender markers","Twoway contrast","Identical","Identical","3rd person singular only","Semantic","Two","Negative particle","Plural clitic","First twoth threeth",NA,"Postpositions","DemonstrativeNoun","NegV","No dominant order","Relative clauseNoun","Absent","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present 23 remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flexiblerelational","0","SvAtrvP",NA
"38","Amele","amel1241","Croisilles","0",145.583333333,-5.25,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And identical to with","Differentiation","No definite but indefinite article","Indefinite word distinct from one",NA,"Genericnounbased","Unrelated","Threeway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative particle","Mixed morphological plural","Firstoneth twoth threeth","No distributive numerals","Postpositions","NounDemonstrative","OptDoubleNeg","XOV","NounRelative clause","Absent","Inflectional optative absent","Special imperative  special negative","No secondperson imperatives","No person marking","Final","More than five classes","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present 23 remoteness distinctions","No grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"fixedpremain","0","SvAtrvP",NA
"39","Amur Nivkh","gily1242",NA,"0",142,53.3333333333,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE",NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Differentiation",NA,"Differentiation",NA,NA,"Optional pronouns in subject position","Interrogativebased","Related for nonhuman reference","Twoway contrast","Different inflection",NA,"No gender distinctions","No gender","None","Negative affix","Plural suffix","First two three","Marked by mixed or other strategies","Postpositions","DemonstrativeNoun","OptDoubleNeg",NA,"Relative clauseNoun","Absent","Inflectional optative absent",NA,"Second singular and second plural","Pronouns only","Final",NA,"Head marking","Full reduplication only","Inflectional future exists","No past tense","No grammatical marking","No person marking","SOV","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"30","SvAtrvP","8"
"40","Apurinã","apur1254","Apurina-Piro-Iñapari","0",-67,-9,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,"Both expressed by juxtaposition","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb",NA,"Related by gender markers","Twoway contrast","Identical","Differentiated","3rd person singular only","Semantic and formal","Two","Negative particle","Plural suffix","None",NA,"Postpositions","DemonstrativeNoun","NegV","No dominant order","NounRelative clause","Present","Inflectional optative absent",NA,"Second plural","No adpositions","No question particle","No possessive classification","Head marking","No productive reduplication","Inflectional future exists","No past tense","No grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"7"
