language,glottocode,family,area,longitude,latitude,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Head.driven.agr,Construct.state,Juxtaposition,Governed,Mod.headed.poss.agr,Linker,Incorporation,Dep.driven.agr,Pronominal.agr,Anti.const.state.agr,Mod.governed.adp,External.driven.agr,External.Poss,Bare.noun,Nominalizer,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Person,Agr.Role,NPHeadlessness,ClausePosition,NumClass.n,Alignment,VInflCat
Lavukaleve,lavu1241,NA,universal,159.2,-9.083333333,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Genericnounbased,Related for all demonstratives,Threeway contrast,Different stem,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Variation between negative word and affix,Plural suffix,NA,NA,Postpositions,NA,Type 2  Type 4,XOV,Internally headed,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns and nouns,Final,No possessive classification,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,NA,0,SvAtrvP,low
Lezgian,lezg1247,Daghestanian,universal,47.83333333,41.66666667,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Differentiation,And different from with,Identity,No definite but indefinite article,Indefinite word same as one,Optional pronouns in subject position,Interrogativebased,Related to nonremote demonstratives,Threeway contrast,Different inflection,Identical,No gender distinctions,No gender,None,Negative affix,Plural suffix,Oneth twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,VNeg,NA,Relative clauseNoun,Absent,Inflectional optative present,Special imperative  special negative,Second person numberneutral,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,No person marking,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,OK,NA,0,SvPxAtr,low
Luvale,luva1239,Bantoid,universal,22,-12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,Related by gender markers,NA,NA,Differentiated,3rd person only but also nonsingular,Semantic and formal,Five or more,Double negation,Plural prefix,First twoth threeth,NA,Prepositions,NounDemonstrative,ObligDoubleNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,NA,Two classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medium
Mangarrayi,mang1381,NA,universal,133.5,-14.66666667,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Differentiation,Definite word distinct from demonstrative,NA,Subject affixes on verb,Interrogativebased,Related for all demonstratives,NA,NA,NA,No gender distinctions,Semantic,Three,Negative particle,Plural suffix,None,NA,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No adpositions,Final,Two classes,Double marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,OVS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,mixed,low
Manipuri,mani1292,NA,universal,94,24.75,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Differentiation,And different from with,Differentiation,Demonstrative word used as definite article,Indefinite word same as one,Optional pronouns in subject position,Interrogativebased,Related for all demonstratives,Twoway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative affix,NA,Firstoneth twoth threeth,Marked by reduplication,Postpositions,NounDemonstrative,VNeg,NA,Relative clauseNoun,Absent,Inflectional optative present,Special imperative  special negative,Second person numberneutral,No person marking,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
Maori,maor1246,Malayo-Polynesian,universal,176,-40,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,Differentiation,And identical to with,Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from one,Optional pronouns in subject position,Mixed,Related to remote demonstratives,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative word unclear if verb or particle,Plural word,Oneth twoth threeth,Marked by prefix,Prepositions,Mixed,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,No person marking,VSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,NA
Mapudungun,mapu1245,NA,universal,-72,-38,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,NA,Related to nonremote demonstratives,Threeway contrast,Different stem,Differentiated,No gender distinctions,No gender,None,Negative affix,Plural word,Firstoneth twoth threeth,NA,No dominant order,DemonstrativeNoun,VNeg,No dominant order,NA,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,NA,No possessive classification,Head marking,NA,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,NA,0,SvAtrvP,medium
Maricopa,mari1440,NA,universal,-113.1666667,33.16666667,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Five or moreway contrast,Identical,Identical,No gender distinctions,No gender,None,Double negation,Plural stem change,NA,Marked by suffix,Postpositions,NounDemonstrative,ObligDoubleNeg,NA,Mixed,Present,Inflectional optative present,Normal imperative  normal negative,Second singular and second plural,No adpositions,No question particle,Three to five classes,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SOV,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,medium
Martuthunira,mart1255,Southwestern Pama-Nyungan,universal,116.5,-20.83333333,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,NA,NA,NA,NA,Optional pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,NA,No gender distinctions,No gender,None,Negative particle,Plural suffix,None,No distributive numerals,No adpositions,DemonstrativeNoun,NegV,VOX,Adjoined,Present,Inflectional optative absent,Special imperative  normal negative,Second person numberneutral,No adpositions,No question particle,Two classes,Dependent marking,Full reduplication only,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,No person marking,SVO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrxP,low
Mawng,maun1240,NA,universal,133.5,-11.91666667,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Subject affixes on verb,NA,Related by gender markers,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Five or more,Negative particle,Plural word,NA,NA,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Absent,NA,Special imperative  special negative,Second singular and second plural,No person marking,Initial,Two classes,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,low
Maybrat-Karon,maib1239,South Bird’s Head,universal,132.5,-1.333333333,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Optional pronouns in subject position,Genericnounbased,Related by gender markers,Threeway contrast,Identical,NA,3rd person singular only,Semantic,Two,Negative particle,No plural,Firstoneth twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns and nouns,Final,Two classes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,ungrammatical,NA,8,SvAtrvP,low
Modern Greek,mode1248,Greek-Armenian,universal,22,39,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,NA,Threeway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Initial,No possessive classification,Double marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,No dominant order,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,mixed,low
Modern Hebrew,hebr1245,West Semitic,universal,34.83333333,31.5,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Identity,And different from with,Identity,Definite affix,Indefinite word same as one,Mixed,Interrogativebased,Related for all demonstratives,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,NA,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrxP,low
Nama (Namibia),nama1264,Khoekhoe,universal,18,-25.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,Identity,And different from with,Identity,NA,Indefinite affix,Obligatory pronouns in subject position,NA,Unrelated,Twoway contrast,NA,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Three,Negative particle,Plural suffix,First twoth threeth,NA,Postpositions,DemonstrativeNoun,VNeg,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,Second position,Two classes,Dependent marking,Productive full and partial reduplication,No inflectional future,Present 23 remoteness distinctions,Grammatical marking,Only the P argument,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrxP,low
Oneida,onei1249,Northern Iroquoian,universal,-75.66666667,43,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,NA,Unrelated,Twoway contrast,Identical,Differentiated,No gender distinctions,Semantic,Three,Negative particle,Mixed morphological plural,NA,NA,No adpositions,DemonstrativeNoun,OptDoubleNeg,No dominant order,Internally headed,Absent,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,No adpositions,Second position,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,Grammatical marking,Both the A and P arguments,No dominant order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,medium
Paraguayan Guaraní,para1311,Tupi-Guaraní,universal,-56,-26,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Mixed,Unrelated,Threeway contrast,Different stem,NA,No gender distinctions,No gender,None,Double negation,Plural word,Firstoneth twoth threeth,NA,Postpositions,DemonstrativeNoun,ObligDoubleNeg,VOX,NA,Absent,Inflectional optative present,Special imperative  special negative,Second singular,Pronouns only,NA,No possessive classification,Head marking,NA,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,medium
Paumari,paum1247,NA,universal,-64,-6,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,Related for all demonstratives,Threeway contrast,Identical,Differentiated,3rd person singular only,Semantic,Four,Variation between negative word and affix,No plural,NA,NA,Postpositions,DemonstrativeNoun,Type 1  Type 4,No dominant order,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,Head marking,Productive full and partial reduplication,NA,NA,NA,Only the A argument,SVO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Pirahã,pira1253,NA,universal,-62,-7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,Differentiation,NA,Identity,No definite or indefinite article,No definite or indefinite article,NA,Mixed,Related to remote demonstratives,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Four,Negative affix,No plural,NA,NA,Postpositions,NounDemonstrative,VNeg,XOV,NA,Absent,Inflectional optative absent,NA,No secondperson imperatives,No person marking,Final,No possessive classification,No marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,medium
Plateau Malagasy,plat1254,NA,universal,47,-20,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,And different from with,NA,Definite word distinct from demonstrative,No indefinite but definite article,Obligatory pronouns in subject position,Genericnounbased,NA,Five or moreway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,No plural,First twoth threeth,Marked by following word,Prepositions,Demonstrative before and after Noun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second person numberneutral,Pronouns only,In either of two positions,No possessive classification,Other,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,No person marking,VOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Popti',popt1235,Greater Kanjobalan,universal,-91.66666667,15.66666667,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word same as one,Mixed,Interrogativebased,Unrelated,Twoway contrast,NA,NA,No gender distinctions,NA,NA,Negative particle,Plural word,Firstoneth twoth threeth,NA,Prepositions,NounDemonstrative,NegV,NA,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns and nouns,No question particle,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,VSO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrvP,low
Rama,rama1270,Rama,universal,-83.75,11.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,NA,Related for all demonstratives,Twoway contrast,NA,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,NA,NA,Postpositions,DemonstrativeNoun,Type 1  Type 4,No dominant order,NA,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,NA,Two classes,Other,NA,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SOV,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,low
Rapanui,rapa1244,Malayo-Polynesian,universal,-109.3666667,-27.11666667,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,Differentiation,NA,NA,Definite word distinct from demonstrative,Indefinite word same as one,Optional pronouns in subject position,NA,Related to remote demonstratives,Threeway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative word unclear if verb or particle,Plural word,First twoth threeth,NA,Prepositions,NounDemonstrative,OptDoubleNeg,NA,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,No person marking,Initial,Two classes,Dependent marking,Full reduplication only,No inflectional future,Present no remoteness distinctions,No grammatical marking,No person marking,VSO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,low
Russian,russ1263,Balto-Slavic,universal,38,56,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA,Mixed,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,NA,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Second position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,OK,flexibleadjacent,0,SvAtrxP,low
San Miguel El Grande Mixtec,sanm1295,Mixtecan,universal,-97.58333333,17.05,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,Identity,No definite or indefinite article,No definite or indefinite article,Mixed,NA,Unrelated,Twoway contrast,NA,Identical,No gender distinctions,Semantic,Five or more,Negative particle,Plural word,None,NA,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,Pronouns only,No question particle,No possessive classification,No marking,NA,Inflectional future exists,No past tense,Grammatical marking,Only the A argument,VSO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,low
Sango,sang1328,NA,universal,18,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA,Identity,And identical to with,Identity,Definite word distinct from demonstrative,NA,Subject affixes on verb,Genericnounbased,Unrelated,NA,NA,NA,No gender distinctions,No gender,None,Negative particle,Plural prefix,NA,NA,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,NA,Normal imperative  normal negative,No secondperson imperatives,No person marking,Final,No possessive classification,Dependent marking,NA,No inflectional future,No past tense,No grammatical marking,No person marking,SVO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrvP,low
Southern Yukaghir,sout2750,NA,universal,150.8333333,65.75,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Differentiation,And different from with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Unrelated,Twoway contrast,Different stem,NA,No gender distinctions,No gender,None,Negative affix,Plural suffix,First twoth threeth,No distributive numerals,Postpositions,DemonstrativeNoun,NegV,NA,Relative clauseNoun,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,No marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Only the A argument,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,ungrammatical,NA,NA,NA,NA
Spanish,stan1288,Italic-Celtic,universal,-4,40,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Special,Unrelated,Threeway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,OK,NA,0,SvAtrxP,low
Supyire Senoufo,supy1237,Northern Senufo,universal,-5.583333333,11.5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,Mixed,NA,Differentiation,Definite affix,Indefinite word distinct from one,Obligatory pronouns in subject position,NA,Related for all demonstratives,No distance contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Five or more,Negative particle,Plural suffix,First twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,OptDoubleNeg,OVX,Correlative,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular,No person marking,Final,No possessive classification,Head marking,NA,No inflectional future,Present 23 remoteness distinctions,Grammatical marking,No person marking,SOV,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,low
