language,glottocode,family,area,longitude,latitude,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Head.driven.agr,Construct.state,Juxtaposition,Governed,Mod.headed.poss.agr,Linker,Incorporation,Dep.driven.agr,Pronominal.agr,Anti.const.state.agr,Mod.governed.adp,External.driven.agr,External.Poss,Bare.noun,Nominalizer,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Person,Agr.Role,NPHeadlessness,ClausePosition,NumClass.n,Alignment,VInflCat
Kiowa,kiow1266,Kiowa,universal,-99,37,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,And different from with,NA,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,NA,Twoway contrast,Identical,Differentiated,No gender distinctions,NA,NA,Double negation,Plural suffix,NA,NA,No adpositions,DemonstrativeNoun,ObligDoubleNeg,NA,Internally headed,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No adpositions,Initial,Two classes,Head marking,No productive reduplication,Inflectional future exists,No past tense,Grammatical marking,A or P argument,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,low
Koasati,koas1236,NA,universal,-85.16666667,34.83333333,TRUE,FALSE,TRUE,NA,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Differentiation,NA,Differentiation,Definite word distinct from demonstrative,NA,Subject affixes on verb,Interrogativebased,Unrelated,Five or moreway contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative affix,Plural clitic,First twoth threeth,NA,Postpositions,DemonstrativeNoun,VNeg,OVX,Mixed,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,NA,Two classes,Head marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrxP,high
Kobon,kobo1249,Kalamic-South Adelbert,universal,144.3333333,-5.166666667,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,Subject affixes on verb,Genericnounbased,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,None,Negative affix,Plural suffix,None,NA,Postpositions,NounDemonstrative,VNeg,NA,Mixed,Absent,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Final,Two classes,No marking,NA,NA,NA,NA,Only the A argument,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,mixed,low
Korean,kore1280,NA,universal,128,37.5,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,Differentiation,And different from with,Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Unrelated,Threeway contrast,Different stem,Identical,3rd person singular only,NA,NA,Negative particle,Plural suffix,Oneth twoth threeth,Marked by suffix,Postpositions,DemonstrativeNoun,NegV,NA,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,No person marking,SOV,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,SvAtrxP,medium
Koyraboro Senni Songhai,koyr1242,NA,universal,0,16,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Obligatory pronouns in subject position,Genericnounbased,Unrelated,No distance contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,Firstoneth twoth threeth,NA,Postpositions,NounDemonstrative,NegV,OVX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,In either of two positions,NA,NA,NA,No inflectional future,No past tense,Grammatical marking,No person marking,SOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrvP,NA
Krongo,kron1241,NA,universal,30,10.5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,Differentiation,NA,Differentiation,No definite or indefinite article,No definite or indefinite article,Mixed,NA,NA,Threeway contrast,Identical,NA,3rd person singular only,NA,NA,Double negation,Plural prefix,One two three,NA,NA,NounDemonstrative,ObligDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,Dependent marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,No person marking,VSO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvAtrvP,low
Kutenai,kute1249,NA,universal,-116,49.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject pronouns in different position,Interrogativebased,NA,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural prefix,NA,No distributive numerals,No adpositions,DemonstrativeNoun,NegV,NA,Internally headed,Present,Inflectional optative absent,NA,Second singular and second plural,No adpositions,Initial,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,No dominant order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,low
Lakota,lako1247,NA,universal,-101.8333333,43.83333333,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,Differentiated,No gender distinctions,NA,NA,Negative particle,Plural word,First twoth threeth,NA,Postpositions,Mixed,VNeg,NA,Internally headed,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns only,Final,Two classes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,SOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SvAtrvP,high
Lango (Uganda),lang1324,Western Nilotic,universal,33,2.166666667,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,Mixed,NA,Differentiation,No definite but indefinite article,Indefinite affix,Subject affixes on verb,Genericnounbased,Unrelated,Threeway contrast,Different stem,Identical,No gender distinctions,No gender,None,Negative particle,Plural suffix,First two three,NA,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,No question particle,Two classes,Head marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,mixed,low
Latvian,latv1249,Balto-Slavic,universal,24,57,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,NA,Identity,And different from with,Identity,Demonstrative word used as definite article,Indefinite word same as one,Obligatory pronouns in subject position,Interrogativebased,Related by gender markers,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative affix,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second plural,No person marking,Initial,NA,NA,NA,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,OK,NA,NA,SvAtrxP,low
