language,glottocode,family,area,longitude,latitude,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Head.driven.agr,Construct.state,Juxtaposition,Governed,Mod.headed.poss.agr,Linker,Incorporation,Dep.driven.agr,Pronominal.agr,Anti.const.state.agr,Mod.governed.adp,External.driven.agr,External.Poss,Bare.noun,Nominalizer,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Person,Agr.Role,NPHeadlessness,ClausePosition,NumClass.n,Alignment,VInflCat
Hurrian,hurr1240,Hurro-Urartian,anea,43.32,40.73,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,Unrelated,Threeway contrast,NA,NA,No gender distinctions,No gender,None,Negative affix,Plural prefix,Oneth twoth threeth,NA,Postpositions,NA,NA,No dominant order,Internally headed,Absent,Inflectional optative present,Normal imperative  normal negative,Second singular and second plural,NA,NA,NA,Dependent marking,NA,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,A or P argument,SOV,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SvPxAtr,medium
Imperial Aramaic,impe1235,Northwest Semitic,anea,42.19,33.91,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,Mixed indefinites,Unrelated,Twoway contrast,NA,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,NA,Prepositions,NounDemonstrative,NegV,NA,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,NA,No question particle,NA,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,A obligatory P optional,VSO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,OK,NA,NA,SvAtrvP,low
Jewish Babylonian Aramaic,jewi1240,Northwest Semitic,anea,44.24,32.27,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,NA,NA,No definite but indefinite article,Indefinite word distinct from one,Subject affixes on verb,Genericnounbased,Related to remote demonstratives,Threeway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,NA,Prepositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,Initial,NA,Head marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,No dominant order,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,OK,flexiblerelational,NA,SvAtrvP,low
Jewish Palestinian Aramaic,pale1261,Northwest Semitic,anea,35.2,32.28,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,No definite but indefinite article,Indefinite word distinct from one,Subject affixes on verb,NA,Related to remote demonstratives,Twoway contrast,Different stem,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,Marked by reduplication,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,NA,Special imperative  special negative,Second singular and second plural,NA,No question particle,No possessive classification,Head marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,A obligatory P optional,VSO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,OK,NA,0,SvAtrvP,low
Later Egyptian,copt1239,Egyptian,anea,31.21,29.47,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,Definite affix,Indefinite word distinct from one,Subject affixes on verb,NA,Unrelated,No distance contrast,Identical,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Prepositions,Demonstrative prefix,NegV,NA,NounRelative clause,Present,Inflectional optative present,Normal imperative  special negative,Second singular and second plural,Pronouns only,NA,No possessive classification,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,NA,Only the A argument,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,flexibleadjacent,NA,SvAtrvP,low
Luwian,luvi1235,Indo-European,anea,36,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,Differentiation,And different from with,Identity,NA,NA,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,NA,NA,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,Oneth twoth threeth,NA,NA,NA,NA,NA,NA,Present,Inflectional optative present,Special imperative  normal negative,Second singular and second plural,NA,NA,No possessive classification,Dependent marking,NA,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SOV,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,SvAtrxP,low
Mandaic Aramaic,clas1253,Northwest Semitic,anea,49.57,36.12,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,No definite but indefinite article,Indefinite word distinct from one,Subject affixes on verb,NA,Related to nonremote demonstratives,Twoway contrast,Identical,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,NA,Prepositions,DemonstrativeNoun,NegV,NA,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,NA,Initial,NA,Head marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,A obligatory P optional,No dominant order,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,OK,NA,NA,SvAtrvP,low
Middle Aramaic,midd1366,Northwest Semitic,anea,35.2,32.28,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Twoway contrast,NA,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,NA,Prepositions,Mixed,NegV,NA,NounRelative clause,Present,NA,Special imperative  special negative,Second singular and second plural,NA,No question particle,NA,Head marking,NA,No inflectional future,No past tense,Grammatical marking,A obligatory P optional,VSO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,OK,NA,NA,SvAtrvP,low
Middle Assyrian,akka1240,East Semitic,anea,41.15,36.21,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Identity,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Unrelated,No distance contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,Firstoneth twoth threeth,Marked by mixed or other strategies,Prepositions,NounDemonstrative,NegV,No dominant order,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,Pronouns only,No question particle,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,OK,flexiblerelational,0,SvAtrxP,low
Middle Babylonian,akka1240,East Semitic,anea,44.51,32.75,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,Firstoneth twoth threeth,NA,Prepositions,NounDemonstrative,NegV,OXV,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,OK,flexiblerelational,0,SvAtrxP,low
Middle Egyptian,egyp1246,Egyptian,anea,30.93,28.41,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And identical to with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Special,Unrelated,Twoway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,NA,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,NA,No person marking,VSO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OK,flexibleadjacent,NA,SvAtrvP,low
Mishnaic Hebrew,hebr1246,Northwest Semitic,anea,35.17,31.78,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,Definite affix,No indefinite but definite article,Mixed,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First twoth threeth,Marked by reduplication,Prepositions,Mixed,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,VSO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,fixedpostmain,NA,SvAtrvP,low
Neo-Assyrian,akka1240,East Semitic,anea,41.05,36.31,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Special,Unrelated,Twoway contrast,Identical,NA,In 3rd person  1st andor 2nd person,NA,NA,Negative particle,Plural suffix,Firstoneth twoth threeth,Marked by suffix,Prepositions,NounDemonstrative,NegV,No dominant order,NounRelative clause,NA,Inflectional optative present,Special imperative  normal negative,Second singular and second plural,Pronouns only,NA,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,NA,NA,Only the A argument,SOV,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,flexiblerelational,0,SvAtrxP,low
Neo-Babylonian,akka1240,East Semitic,anea,44.87,32.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,Firstoneth twoth threeth,NA,Prepositions,NounDemonstrative,NegV,OXV,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,OK,flexiblerelational,0,SvAtrxP,low
Old Akkadian,akka1240,East Semitic,anea,44.1,33.1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,Firstoneth twoth threeth,NA,Prepositions,NounDemonstrative,NegV,OXV,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,OK,flexiblerelational,0,SvAtrxP,low
Old Aramaic,olda1246,Northwest Semitic,anea,37,32.84,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Twoway contrast,NA,NA,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First two three,NA,Prepositions,Mixed,NegV,NA,NounRelative clause,Present,NA,Special imperative  special negative,Second singular and second plural,NA,No question particle,NA,Head marking,NA,No inflectional future,No past tense,Grammatical marking,A obligatory P optional,VSO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,OK,NA,NA,SvAtrvP,low
Old Assyrian,akka1240,East Semitic,anea,40.95,35.88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Identity,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Unrelated,No distance contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,Firstoneth twoth threeth,Marked by mixed or other strategies,Prepositions,NounDemonstrative,NegV,No dominant order,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second singular and second plural,Pronouns only,No question particle,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,OK,flexiblerelational,0,SvAtrxP,low
