language,time,glottocode,area,family,latitude,longitude,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdjNoun,AdpN,DegWordAdj,DemN,GenN,NegV,NumNoun,OXV,RelN,Passive,Rec,Optative,Prohibitive,Imperative,AdpPM,NumNoun,PolarQ,PossClass,PossAff,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,NPAgrCat,NPHeadlessness,ClausePosition,NumClass.n,NPMarking,Alignment,VInflCat
Neo-Assyrian,11,akka1240,1,East Semitic,36.31,41.05,NA,NA,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Special,Unrelated,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,NA,NA,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,Pronouns only,Mixed,NA,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,NA,NA,Only the A argument,SOV,NA,NA,flexible-relational,0,Head-driven agr. + Construct state + Juxtaposition,S=Atr≠P,low
Standard Biblical Hebrew,12,bibl1238,1,Northwest Semitic,31.78,35.17,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Mixed,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO,"Gender,Number,Definiteness",NA,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Old Aramaic,13,olda1246,1,Northwest Semitic,32.84,37,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,NA,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Samal,14,sama1317,1,Northwest Semitic,37.1,36.67,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Dumaitic North Arabian,15,duma1255,1,Central Semitic,29.8,39.89,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,NA,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,"A obligatory, P optional",SVO,"Gender,Number,Definiteness",NA,NA,NA,Head-driven agr. + Construct state,NA,low
Hasaitic North Arabian,16,hasa1249,1,Central Semitic,25.79,49.27,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,"A obligatory, P optional",NA,"Gender,Number,Definiteness",NA,NA,NA,Head-driven agr. + Construct state,NA,low
Ancient South Arabian,17,sayh1236,1,Central Semitic,15.42,45.35,Identity,And different from 'with',Identity,Definite affix,Indefinite affix,Optional pronouns in subject position,NA,Related to remote demonstratives,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,"First, two, three",NA,NA,Prepositions,NA,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,NA,Inflectional optative present,Special imperative + normal negative,NA,Pronouns only,NA,NA,NA,Possessive suffixes,Double marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,VSO,"Gender, Number, State, Case",NA,fixed:post-main,NA,Head-driven agr. + Construct state,S=Atr≠P,low
Imperial Aramaic,18,impe1235,1,Northwest Semitic,33.91,42.19,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,Mixed indefinites,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,Inflectional optative present,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Middle Aramaic,19,midd1366,1,Northwest Semitic,32.28,35.2,NA,NA,NA,Definite affix,Indefinite affix,Subject affixes on verb,NA,Unrelated,Two-way contrast,NA,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,NA,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Mishnaic Hebrew,20,hebr1246,1,Northwest Semitic,31.78,35.17,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Mixed,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",Marked by reduplication,Noun-Adjective,Prepositions,Degree word-Adjective,Mixed,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,No reciprocals,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Only the A argument,VSO,"Gender,Number,Definiteness",NA,fixed:post-main,NA,Head-driven agr. + Construct state,S=Atr=P,low
Arabic,21,arab1395,1,Central Semitic,29.63,33.12,Differentiation,And different from 'with',Identity,Definite affix,Indefinite affix,Subject affixes on verb,Interrogative-based,Unrelated,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,"First, two, three",Marked by mixed or other strategies,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,No reciprocals,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO,"Gender, Number, State, Case",OK,flexible-relational,0,Head-driven agr. + Construct state,S=Atr≠P,low
Jewish Babylonian Aramaic,22,jewi1240,1,Northwest Semitic,32.27,44.24,Differentiation,NA,NA,"No definite, but indefinite article",Indefinite word distinct from 'one',Subject affixes on verb,Generic-noun-based,Related to remote demonstratives,Three-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,Initial,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,No dominant order,"Gender,Number,State",OK,flexible-relational,NA,Head-driven agr. + Construct state,S=Atr=P,low
Jewish Palestinian Aramaic,23,pale1261,1,Northwest Semitic,32.28,35.2,NA,NA,NA,"No definite, but indefinite article",Indefinite word distinct from 'one',Subject affixes on verb,NA,Related to remote demonstratives,Two-way contrast,Different stem,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",Marked by reduplication,Noun-Adjective,Prepositions,NA,Demonstrative-Noun,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,NA,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,0,Head-driven agr. + Construct state,S=Atr=P,low
Mandaic Aramaic,24,clas1253,1,Northwest Semitic,36.12,49.57,NA,NA,NA,"No definite, but indefinite article",Indefinite word distinct from 'one',Subject affixes on verb,NA,Related to non-remote demonstratives,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Demonstrative-Noun,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,Inflectional optative present,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,Initial,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",No dominant order,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
Syriac,25,clas1252,1,Northwest Semitic,37.11,42.14,NA,NA,NA,"No definite, but indefinite article",Indefinite word distinct from 'one',Subject affixes on verb,NA,Related to remote demonstratives,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",NA,Noun-Adjective,Prepositions,NA,Mixed,Noun-Genitive,NegV,No dominant order,NA,Noun-Relative clause,Present,NA,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,NA,Initial interrogative phrase,No question particle,NA,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",VSO,"Gender,Number,State",OK,NA,NA,Head-driven agr. + Construct state,S=Atr=P,low
